Car Payment, Transportation
Car Insurance, Transportation
Car Warranty, Transportation
Gas, Transportation
Public Transportation Tickets, Transportation
Taxi Costs, Transportation
Parking Fees, Transportation
Tires, Transportation
Maintenance, Transportation
Old Change, Transportation
Auto Repairs, Transportation
Registration and DMV Fees, Transportation
Gym Membership, Personal_Spending
Haircut, Personal_Spending
Salon Services, Personal_Spending
Cosmetics, Personal_Spending
Babysitter, Personal_Spending
Subscription, Personal_Spending
Rent, Housing
Mortgage Interest, Housing
Mortgage, Housing
House Tax, Housing
Home Insurance, Housing
Home Repairs, Housing
Snow Removal, Housing
Lawn Mowing, Housing
Cleaning Supplies, Housing
Tools, Housing
Advertising, Miscellaneous
Bank Fees, Miscellaneous
Car Expenses, Miscellaneous
Club Dues, Miscellaneous
Credit Card Fees, Miscellaneous
Education and Training, Miscellaneous
Home Office, Miscellaneous
Tax Preparation Fee, Miscellaneous
Interest, Miscellaneous
Licenses Fees, Miscellaneous
Reparis and Maintenance, Miscellaneous
Subscriptions, Miscellaneous
Emergency Services, Healthcare
Surgery, Healthcare
X-ray, Healthcare
Medical visit, Healthcare
Vaccination, Healthcare
Office visit, Healthcare
Blood draw, Healthcare
Lab work, Healthcare
Auto insurance, Insurance
Homeowners Insurance, Insurance
Renters Insurance, Insurance
Umbrella Policy, Insurance
Health Insurance, Insurance
Life Insurance, Insurance
Identity Theft Protection, Insurance
Angelica, Food
Savoy cabbage, Food
Silver linden, Food
Kiwi,Food
Allium (Onion), Food
Garden onion, Food
Leek, Food
Garlic, Food
Chives, Food
Lemon verbena, Food
Cashew nut, Food
Pineapple, Food
Dill, Food
Custard apple, Food
Wild celery, Food
Peanut, Food
Burdock, Food
Horseradish, Food
Tarragon, Food
Mugwort, Food
Asparagus, Food
Oat, Food
Star fruit, Food
Brazil nut, Food
Common beet, Food
Borage, Food
Chinese mustard, Food
Swede, Food
Rape, Food
Common cabbage, Food
Cauliflower, Food
Brussel sprouts, Food
Kohlrabi, Food
Broccoli, Food
Chinese cabbage, Food
Turnip, Food
Pigeon pea, Food
Tea, Food
Capers, Food
Pepper (C. annuum), Food
Papaya, Food
Safflower, Food
Caraway, Food
Pecan nut, Food
Chestnut, Food
Roman camomile, Food
Chickpea, Food
Endive, Food
Chicory, Food
Chinese cinnamon, Food
Ceylon cinnamon, Food
Watermelon, Food
Lime, Food
Lemon, Food
Pummelo, Food
Mandarin orange (Clementine, Tangerine), Food
Sweet orange, Food
Coffee, Food
Arabica coffee, Food
Robusta coffee, Food
Coriander, Food
Common hazelnut, Food
Saffron, Food
Muskmelon, Food
Cucumber, Food
Cucurbita (Gourd), Food
Cumin, Food
Turmeric, Food
Quince, Food
Lemon grass, Food
Globe artichoke, Food
Wild carrot, Food
Japanese persimmon, Food
Cardamom, Food
Black crowberry, Food
Loquat, Food
Rocket salad (ssp.), Food
Wax apple, Food
Common buckwheat, Food
Tartary buckwheat, Food
Fig, Food
Fennel, Food
Strawberry, Food
